Timestamp,Item Description,Brand,Lot/Serial #,Expiration,IAR #,IAR Date,Delivery Date,Quantity,Pack Size,Loose,Unit,Total,Location,Supplier/Donor,Manufacturer,Origin,Acquisition Mode,Expiration,Remarks,Condition,Fund Source,Acquisition Cost,Category,User,Status
11:13:50 8/20/2022,"LCD Projector    Resolution: Native SVGA (800x600), Maximum UXGA (1600x1200), 1080p (1920x1080) Aspect Ratio: 4:3 (native) 16:9, Displayable colors 1.07 billion colors, 2500 ANSI Lumens (standard) 2000 ANSI Lumens, Contras ratio 3000:01;00",Acer XII30P,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,"Do condemn form, for condemn.",,,31200,,Kristoffer Ian Buñag,
11:17:40 8/20/2022,"LCD Projector    Resolution: Native SVGA (800x600), Maximum UXGA (1600x1200), 1080p (1920x1080) Aspect Ratio: 4:3 (native) 16:9, Displayable colors 1.07 billion colors, 2500 ANSI Lumens (standard) 2000 ANSI Lumens, Contras ratio 3000:01;00",Acer XII30P,,NOT INDICATED,,,,0,0,1,,1,,,,,Purchase,NOT INDICATED,Do condemn form. For condemn.,,,,,Kristoffer Ian Buñag,
11:18:51 8/20/2022,Speaker System Lapel Microphone SM-318A  with microphone transmitter and wireless receiver. good quality single microphone only.,Shure,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,Not found in area.,,,1800,,Kristoffer Ian Buñag,
11:21:50 8/20/2022,Speaker System Lapel Microphone SM-318A  with microphone transmitter and wireless receiver. good quality single microphone only.,Shure,,NOT INDICATED,,,,0,0,1,,1,,,,,Purchase,NOT INDICATED,Not found in area.,,,,,Kristoffer Ian Buñag,
11:22:49 8/20/2022,"Fire Extinguisher    10 lbs., new. ",,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,Existing/in use.,Good condition,,0,,Kristoffer Ian Buñag,
11:25:43 8/20/2022,Refrigerator     ,Sharp,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,"Pantry, in use.",Good condition,,-1,,Kristoffer Ian Buñag,
13:5:15 8/20/2022,Projector Data Projector W2100   ,Infocus,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,Not found in area.,,,79990,,Kristoffer Ian Buñag,
13:11:28 8/20/2022,Projector Document Camera Aver Vision 130   ,Avermedia,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,Not found in area.,,,79990,,Kristoffer Ian Buñag,
13:11:28 8/20/2022,Printer Laserjet 203A   ,Fuji,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,Not found in area.,,,,,Kristoffer Ian Buñag,
13:16:31 8/20/2022,"Computer Desktop   2.00GHz 896MB RAM memory. CPU Asus Dual core P5VD2-WMSE. Processor radiant brand model #FC-RAIIA, AVR ultra power brand. Keyboard cruiser brand, Mouse w/ pad, Optical GOTOP brand, Speaker EACAN brand model # T009, Monitor 17' AOC brand model # 771S",,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,Not found in area.,,,19450,,Kristoffer Ian Buñag,
13:25:25 8/20/2022,"Computer Desktop   Intel Pentium IV 2.8GHz 512MB DDR RAM, Monitor Philips brand",,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,No remarks.,,,0,,Kristoffer Ian Buñag,
13:25:25 8/20/2022,"Computer Desktop   Intel Pentium IV 2.8GHz 512MB DDR RAM, Monitor Philips brand",,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,No remarks.,,,0,,Kristoffer Ian Buñag,
13:27:13 8/20/2022,Cabinet Filing    ,,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,Not found in area.,,,0,,Kristoffer Ian Buñag,
13:27:13 8/20/2022,Cabinet Filing    ,Hermaco,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,2 found. (Donation),,,3960,,Kristoffer Ian Buñag,
13:31:31 8/20/2022,Cabinet Filing    ,Hermaco,,NOT INDICATED,,,,0,0,2,,2,,,,,Purchase,NOT INDICATED,2 found in area. (Donation),,,,,Kristoffer Ian Buñag,
13:33:2 8/20/2022,Chair Executive    ,,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,Under repair.,,,0,,Kristoffer Ian Buñag,
13:34:20 8/20/2022,Table Executive    ,,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,(Donation),Good Condition,,0,,Kristoffer Ian Buñag,
13:34:20 8/20/2022,Cabinet     ,,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,Not found in area.,,,,,Kristoffer Ian Buñag,
13:37:35 8/20/2022,Cabinet     ,,,NOT INDICATED,,,,0,0,1,,1,,,,,Purchase,NOT INDICATED,Not found in area.,,,,,Kristoffer Ian Buñag,
13:38:5 8/20/2022,Cabinet     ,,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,,Good Condition,,0,,Kristoffer Ian Buñag,
13:38:5 8/20/2022,Airconditioner Standing type LP-F8091AL   ,LG,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,1 unit at MMS.,,,,,Kristoffer Ian Buñag,
13:47:36 8/20/2022,Table     ,,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,At HR during Covid-19.,,,0,,Kristoffer Ian Buñag,
13:48:32 8/20/2022,Table     ,,,NOT INDICATED,,,,0,0,6,,6,,,,,Purchase,NOT INDICATED,At HR during Covid-19.,,,,,Kristoffer Ian Buñag,
13:49:10 8/20/2022,Table Monobloc    ,,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,At HR during Covid-19.,,,0,,Kristoffer Ian Buñag,
13:50:5 8/20/2022,Table Monobloc    ,,,NOT INDICATED,,,,0,0,5,,5,,,,,Purchase,NOT INDICATED,At HR during Covid-19.,,,,,Kristoffer Ian Buñag,
13:52:10 8/20/2022,Table     ,,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,Borrowed by IPCC.,,,0,,Kristoffer Ian Buñag,
13:52:10 8/20/2022,Fan Electric    ,,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,Not found in area.,,,,,Kristoffer Ian Buñag,
13:54:10 8/20/2022,Fan Electric    ,,,NOT INDICATED,,,,0,0,5,,5,,,,,Purchase,NOT INDICATED,Not found in area.,,,,,Kristoffer Ian Buñag,
13:54:46 8/20/2022,Fan Electric    ,Hitachi,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,Not found in area.,,,0,,Kristoffer Ian Buñag,
13:55:38 8/20/2022,Fan Electric    ,Hitachi,,NOT INDICATED,,,,0,0,1,,1,,,,,Purchase,NOT INDICATED,Not found in area.,,,,,Kristoffer Ian Buñag,
13:56:38 8/20/2022,Blackboard     ,,,NOT INDICATED,,,,,,,,1,,,,,Purchase,,EFM. Condemned. ,,,0,,Kristoffer Ian Buñag,
13:59:55 8/20/2022,Blackboard     ,,,NOT INDICATED,,,,0,0,5,,5,,,,,Purchase,NOT INDICATED,EFM. Condemned.,,,,,Kristoffer Ian Buñag,
14:14:28 8/20/2022,"Airconditioner Split   Condensing unit: S0906Y101469
Fan cool unit: S0907Y010025 ",Carrier,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,Old Admin now OPD building.,,,37268,,Kristoffer Ian Buñag,
14:14:28 8/20/2022,"Computer Laptop/Mobile   Intel Core TM Duo Processor T2050E 1.66Hz
Intel 945GM Express Chipset 512MB DDR2 RAM ",Acer Aspire,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,No Remarks.,,,62289,,Kristoffer Ian Buñag,
14:26:7 8/20/2022,Table     ,,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,Not found in area.,,,0,,Kristoffer Ian Buñag,
14:28:13 8/20/2022,Chair Executive    ,,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,No Remarks.,,,0,,Kristoffer Ian Buñag,
14:28:13 8/20/2022,Fan Electric NSJ-16-PB   ,Standard,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,No Remarks.,,,,,Kristoffer Ian Buñag,
14:33:48 8/20/2022,Cabinet     ,,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,Not found in area.,,,0,,Kristoffer Ian Buñag,
14:33:48 8/20/2022,Cabinet     ,,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,Not found in area.,,,,,Kristoffer Ian Buñag,
14:33:48 8/20/2022,"Computer Desktop   4GB memory
500GB HDD
Integrated Video, Audio, LAN
USB 2.0, 3.0 ports
18.5"" LED wide screen monitor
DVD-RW optical drive
USB keyboard & mouse
500 watts AVR
800 VA UPS, heavy duty
Licensed Windows 7 Pro OS Monitor SN: 02593-084-517-202. Product Key: HPYE51A002217",,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,No Remarks.,,,23998,,Kristoffer Ian Buñag,
14:48:40 8/20/2022,"Chair    Chrome frame, alum 5-star base, mesh upholstered color black, gaslift, seatheight adjustments, floating, mechanism w/ locking functions, twin caster, heavy duty. ",,,NOT INDICATED,,,,,,,,1,Research,,,,Purchase,,No Remarks.,Good Condition,,4900,,Kristoffer Ian Buñag,
14:53:38 8/20/2022,Cabinet Filing    ,Jensey,,NOT INDICATED,,,,,,,,1,Research,,,,Purchase,,No Remarks.,Good Condition,,6450,,Kristoffer Ian Buñag,
14:53:38 8/20/2022,Cabinet Filing    ,Jensey,,NOT INDICATED,,,,,,,,1,Research,,,,Purchase,,No Remarks.,Good Condition,,6450,,Kristoffer Ian Buñag,
14:58:33 8/20/2022,"Printer 3-in-1 L-210  Continuous ink tank system (black, cyan, magenta & yellow) ",Epson,,NOT INDICATED,,,,,,,,1,Research,,,,Purchase,,No Remarks.,,,7850,,Kristoffer Ian Buñag,
14:58:33 8/20/2022,"Computer Laptop/Mobile   Intel Core 13-Series Processor
4GB DDR RAM Memory, 500GB HDD
2GB Dedicated Video Graphics Accelerator
Atleast 14""-15"" Full HD LED Display
Built-in ports, USB, HDMI, SD Card, Ethernet LAN & Bluetooth
DVD-Rom, Read/Write
With Latest License Windows OS ",Asus,,NOT INDICATED,,,,,,,,1,Research,,,,Purchase,,No Remarks.,,,,,Kristoffer Ian Buñag,
14:58:33 8/20/2022,Projector  EB-U32  Generic 70 x 70 Tripod ,EPSON,,NOT INDICATED,,,,,,,,1,Research,,,,Purchase,,No Remarks.,,,37260,,Kristoffer Ian Buñag,
14:58:33 8/20/2022,"Voice Recorder  ICD-BX 140  with atleast 4GB built-in memory, 2AA batteries, easy to use large buttons, easy recording & playback, built-in high quality output speaker. ",Sony,,NOT INDICATED,,,,,,,,1,Research,,,,Purchase,,Not found in area.,,,2999,,Kristoffer Ian Buñag,
16:29:3 8/20/2022,Speaker System Microphone    ,,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,Condemned.,,,1384.5,,Kristoffer Ian Buñag,
16:30:42 8/20/2022,Speaker System Microphone    ,,,NOT INDICATED,,,,0,0,1,,1,,,,,Purchase,NOT INDICATED,Condemned.,,,,,Kristoffer Ian Buñag,
16:31:29 8/20/2022,Speaker System Microphone    ,,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,Condemned. ,,,1350,,Kristoffer Ian Buñag,
16:32:40 8/20/2022,Speaker System Microphone    ,,,NOT INDICATED,,,,0,0,1,,1,,,,,Purchase,NOT INDICATED,Condemned.,,,,,Kristoffer Ian Buñag,
16:33:34 8/20/2022,Speaker System Microphone WM-400   ,Yoga,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,Not found in area.,,,895,,Kristoffer Ian Buñag,
16:33:34 8/20/2022,Projector Screen  DA LITE   ,,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,Ok.,,,5888,,Kristoffer Ian Buñag,
9:13:4 8/22/2022,Karaoke Sing-Along    ,Panasonic,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,At pantry.,,,9895,,Kristoffer Ian Buñag,
9:13:4 8/22/2022,Speaker System Microphone HDT-P98  Microphone with 8 meter cord ,,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,"4 found (3 with microphone, 1 without microphone, 2 not found).",Good Condition,,,,Kristoffer Ian Buñag,
9:13:4 8/22/2022,Speaker System Microphone   Microphone wireless ,,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,"2 units complete, 1 unit without microphone.",,,1475,,Kristoffer Ian Buñag,
9:36:26 8/22/2022,Speaker System Microphone HDT-P98  Microphone with 8 meter cord ,,,NOT INDICATED,,,,0,0,5,,5,,,,,Purchase,NOT INDICATED,"4 found (3 with microphone, 1 without microphone).",Good Condition,,,,Kristoffer Ian Buñag,
9:36:26 8/22/2022,Speaker System Microphone   Microphone wireless ,,,NOT INDICATED,,,,,,2,,2,,,,,Purchase,NOT INDICATED,"2 units complete, 1 without microphone. ",,,,,Kristoffer Ian Buñag,
9:41:13 8/22/2022,Printer Inkjet L110  USB 2.0 with AC power adapter ,Epson,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,Not found in area.,,,6280,,Kristoffer Ian Buñag,
9:41:13 8/22/2022,Cabinet Steel    ,,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,"3 units (2 in area, 1 missing).",,,6325,,Kristoffer Ian Buñag,
10:15:39 8/22/2022,Cabinet Steel    ,,,NOT INDICATED,,,,0,0,2,,2,,,,,Purchase,NOT INDICATED,"3 units (2 in area, 1 missing).",,,,,Kristoffer Ian Buñag,
10:17:41 8/22/2022,Cabinet Steel    ,,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,Ok.,,,0,,Kristoffer Ian Buñag,
10:22:22 8/22/2022,Fan Electric    ,,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,No Remarks.,,,1290,,Kristoffer Ian Buñag,
10:22:22 8/22/2022,Projector  X1140A   ,Acer,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,No Remarks.,,,23995,,Kristoffer Ian Buñag,
10:22:22 8/22/2022,Camera DSLR D3200  24-2 mega pixel resolution full HD 1080P video recording bundled with 18-55mm lens kit. ,Nikon,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,"Functional, cord not found.",,,27900,,Kristoffer Ian Buñag,
10:22:22 8/22/2022,Projector  EB-U42   ,Epson,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,Petro borrowed unit from procurement. ,,,,,Kristoffer Ian Buñag,
13:13:19 8/22/2022,Side Projector     ,,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,Not found in area.,,,0,,Kristoffer Ian Buñag,
13:16:33 8/22/2022,Typewriter     ,Olympia,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,No Remarks.,,,3650,,Kristoffer Ian Buñag,
13:16:33 8/22/2022,Cabinet Filing    ,Hermaco,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,No Remarks.,,,500,,Kristoffer Ian Buñag,
15:32:52 8/22/2022,Carousel     ,Kodak,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,No Remarks.,,,875,,Kristoffer Ian Buñag,
15:34:13 8/22/2022,Cassette     ,,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,No Remarks.,,,0,,Kristoffer Ian Buñag,
15:36:50 8/22/2022,Cassette  CFS-B16   ,Sony,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,No Remarks.,,,2227.5,,Kristoffer Ian Buñag,
15:36:50 8/22/2022,Cassette    VHS ,Sony,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,Ok.,,,8915,,Kristoffer Ian Buñag,
15:42:7 8/22/2022,Microphone     ,,,NOT INDICATED,,,,,,,#N/A,1,Petro,,,,Purchase,,No Remarks.,,,1305.75,,Kristoffer Ian Buñag,
15:43:40 8/22/2022,Microphone     ,,,NOT INDICATED,,,,0,0,1,#N/A,1,,,,,Purchase,NOT INDICATED,No Remarks.,,,,,Kristoffer Ian Buñag,
15:53:46 8/22/2022,"Microphone    Maximum De Demition Range: 30KHz
Audio Frequency Response: 40Hz-20KHz
S/N Ratio: 85dB
Audio Dynamics Range: 80dB
T.H.D. 0.2%
Operating Distance: 60m
Operating Temperature: -10'c-50'c
Power: AC 12V ",,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,Not found in area.,,,0,,Kristoffer Ian Buñag,
